id,title,release_date,overview,tagline,runtime,genres,origin_country,rating,revenue,budget,popularity,vote_average,vote_count
211672,Minions,2015-06-17,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.","Meet Stuart, Kevin & Bob.",91,"Family, Animation, Adventure, Comedy","US, US",6.4,1159457503,74000000,5.4677,6.4,10812
87101,Terminator Genisys,2015-06-23,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",Reset the future,126,"Science Fiction, Action, Thriller, Adventure","US, US",5.943,440603537,155000000,12.9375,5.943,8656
286565,Paper Towns,2015-06-18,"Quentin Jacobsen has spent a lifetime loving the magnificently adventurous Margo Roth Spiegelman from afar. So when she cracks open a window and climbs back into his life dressed like a ninja and summoning him for an ingenious campaign of revenge, he follows. After their all-nighter ends and a new day breaks, Quentin arrives at school to discover that Margo, always an enigma, has now become a mystery. But Quentin soon learns that there are clues, and they're for him. Urged down a disconnected path, the closer Quentin gets, the less he sees of the girl he thought he knew.",Get Lost. Get Found.,109,"Mystery, Drama, Romance","US, US",6.155,85500000,12000000,3.4444,6.155,5099
315465,The Boy and the Beast,2015-07-11,"Kyuta, a boy living in Shibuya, and Kumatetsu, a lonesome beast from Jutengai, an imaginary world. One day, Kyuta forays into the imaginary world and, as he's looking for his way back, meets Kumatetsu who becomes his spirit guide. That encounter leads them to many adventures.","In a world of beasts, he found a family.",119,"Action, Adventure, Animation, Drama, Family, Fantasy","JP, JP, JP, JP, JP, JP, JP, JP, JP, JP, JP, JP, JP, JP",7.938,49714378,0,2.7288,7.938,1533
214756,Ted 2,2015-06-25,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",Thunder buddies for life.,115,"Comedy, Fantasy","US, US, US, US, US",6.3,215863606,68000000,12.1225,6.3,7714
281743,Tiny Times 4,2015-07-09,"In the film series finale, Lily finds herself near financial ruin because of the debts left behind by her father, all while battling a newly diagnosed cancer. Too proud to seek solace from anyone around her, Lily sets off a chain of self-destructive events that lead to her estrangement from best friends Lin Xiao, Nan Xiang, and Ruby.",,116,"Drama, Romance",", CN, ",3.3,82320000,0,1.8385,3.3,29
135397,Jurassic World,2015-06-06,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",The park has opened.,124,"Action, Adventure, Science Fiction, Thriller","US, US, US",6.699,1671537444,150000000,16.4599,6.699,20971
150540,Inside Out,2015-06-17,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",Meet the little voices inside your head.,95,"Animation, Family, Adventure, Drama, Comedy","US, US",7.91,857611174,175000000,16.7201,7.91,22765
271718,Trainwreck,2015-07-17,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.",We all know one.,125,"Comedy, Romance","US, US",5.799,140795793,35000000,4.0853,5.799,2639
345235,Monk Comes Down the Mountain,2015-07-03,"A monk leaves his monastery and ventures out into the real world for the first time in his life, and ends up in an adventure with a kung-fu master who is guarding a special artifact.","Ruthless defines a champion, principal creates a hero.",113,Action,US,5.09,64455686,0,2.6759,5.09,100
102899,Ant-Man,2015-07-14,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",Heroes don't get any bigger.,117,"Science Fiction, Action, Adventure",US,7.1,519311965,130000000,12.9604,7.1,20293
280092,Insidious: Chapter 3,2015-05-28,"A twisted new tale of terror begins for a teenage girl and her family, and revealing more mysteries of the otherworldly realm, 'The Further'.",This is how you die.,97,"Horror, Thriller","US, CA",6.285,120453155,10000000,5.2179,6.285,3469
264999,Magic Mike XXL,2015-07-01,"Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.",Back to the grind.,115,"Comedy, Drama","US, US",6.166,117800000,14800000,2.0196,6.166,1810
